MSA,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,Theft,MotorVehicleTheft,State,City
"Vineland-Bridgeton, NJ M.S.A.2",583.4,10.2,49,219.5,304.7,"4,111.80",920,"3,086.90",105,NJ,Vineland
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",309.3,8,31.3,98.2,171.9,"2,727.10",388.1,"2,194.80",144.2,VA,Virginia Beach
"Visalia-Porterville, CA M.S.A.",395.8,9.7,37.9,71.7,276.4,"2,557.70",588.2,"1,571.10",398.4,CA,Visalia
"Waco, TX M.S.A.",411.5,8.8,55.6,69.3,277.9,"3,019.10",659.7,"2,240.60",118.8,TX,Waco
"Walla Walla, WA M.S.A.",311.2,6.2,43.6,37.3,224.1,"3,353.40",619.3,"2,513.10",221,WA,Walla Walla
"Warner Robins, GA M.S.A.",358.5,2.6,22.7,100.7,232.5,"3,440.80",735.9,"2,553.10",151.8,GA,Warner Robins
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",324.1,5.3,27.2,123.2,168.3,"1,929.20",215.5,"1,552.20",161.5,DC,Washington
"Silver Spring-Frederick-Rockville, MD M.D.",204.2,2.8,23.9,58.1,119.4,"1,559.00",197.6,"1,293.00",68.4,MD,Silver Spring
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.",356,6,28.1,140.5,181.4,"2,027.90",220.3,"1,621.30",186.3,DC,Washington
"Waterloo-Cedar Falls, IA M.S.A.",497,2.3,49.2,35.2,410.3,"2,075.40",624.2,"1,352.20",99.1,IA,Waterloo
"Watertown-Fort Drum, NY M.S.A.",189.1,2.5,69.4,15.9,101.2,"1,961.30",332.2,"1,586.40",42.7,NY,Watertown
"Wausau, WI M.S.A.",110.9,1.5,18.4,19.1,72,"1,208.50",187.3,985.1,36,WI,Wausau
"Wenatchee, WA M.S.A.",100.3,0.9,17.3,10.4,71.8,"2,110.60",464.5,"1,505.10",141,WA,Wenatchee
"Wheeling, WV-OH M.S.A.",333.9,3.5,33.2,39.5,257.7,"1,499.70",334.6,"1,092.40",72.7,WV,Wheeling
"Wichita, KS M.S.A.6",673.2,4.7,66.6,118.8,483.1,,,"2,712.20",360.6,KS,Wichita
"Wichita Falls, TX M.S.A.",334.5,1.3,67.2,81.7,184.4,"3,259.80",788.3,"2,291.10",180.4,TX,Wichita Falls
"Williamsport, PA M.S.A.",209.3,6,48,47.2,108.1,"1,790.60",293.4,"1,454.30",42.9,PA,Williamsport
"Wilmington, NC M.S.A.",423.7,7.2,34,121.7,260.8,"3,291.90",884.6,"2,252.80",154.6,NC,Wilmington
"Winchester, VA-WV M.S.A.",173.6,1.5,56.6,28.3,87.2,"2,020.90",321,"1,603.70",96.1,VA,Winchester
"Worcester, MA-CT M.S.A.",434.8,1.6,31.8,73,328.5,"1,746.20",372.7,"1,271.60",101.9,MA,Worcester
"Yakima, WA M.S.A.",293.4,8.4,31.3,77,176.8,"3,537.40",907.9,"2,175.70",453.7,WA,Yakima
"York-Hanover, PA M.S.A.",217.5,4.3,23.3,64.3,125.6,"1,551.40",232.6,"1,255.20",63.6,PA,York
"Yuba City, CA M.S.A.",371.6,3.5,37,81.6,249.5,"2,588.60",659.3,"1,555.90",373.4,CA,Yuba City
"Yuma, AZ M.S.A.",327.4,4.9,34.6,44.8,243.1,"2,249.60",627.1,"1,422.80",199.8,AZ,Yuma
"Aguadilla-Isabela, Puerto Rico M.S.A.",108.7,4.8,3.5,40.5,59.9,710.2,284.5,403.3,22.5,"Aguadilla-Isabela, Puerto Rico M.S.A.",Aguadilla
"Arecibo, Puerto Rico M.S.A.",99.3,6.9,2.7,53.1,36.6,"1,031.90",287.3,670.8,73.8,"Arecibo, Puerto Rico M.S.A.",Arecibo
"Guayama, Puerto Rico M.S.A.",251.6,11.4,6.3,74.6,159.3,823.2,265.5,531.1,26.6,"Guayama, Puerto Rico M.S.A.",Guayama
"Mayaguez, Puerto Rico M.S.A.",237.5,11.5,5.2,82.3,138.6,"1,320.00",377.1,861.6,81.3,"Mayaguez, Puerto Rico M.S.A.",Mayaguez
"Ponce, Puerto Rico M.S.A.",231.4,18,5,66.2,142.2,885,214.4,632.4,38.1,"Ponce, Puerto Rico M.S.A.",Ponce
"San German, Puerto Rico M.S.A.",92.1,5.4,4.6,16.1,66,420,168.9,226.5,24.6,"San German, Puerto Rico M.S.A.",San German
"San Juan-Carolina-Caguas, Puerto Rico M.S.A.",262,20.6,4.9,157.8,78.7,"1,281.20",281.8,835,164.3,"San Juan-Carolina-Caguas, Puerto Rico M.S.A.",San Juan
