HighCostLowGraduation,LowCostLowGraduation,LowCostHighGraduation,HighCostHighGraduation
225858.0,172051.0,206862.0,190372.0
225991.0,172200.0,207157.0,190415.0
226277.0,172291.0,207254.0,190451.0
227003.0,172307.0,207324.0,190512.0
227298.0,172617.0,207582.0,190664.0
227748.0,172635.0,207856.0,190707.0
227836.0,172644.0,208239.0,190725.0
228200.0,172671.0,208488.0,191126.0
228219.0,172963.0,208512.0,191515.0
228246.0,173063.0,208725.0,191728.0
228282.0,173115.0,208965.0,192040.0
228291.0,173124.0,209108.0,192156.0
228875.0,173203.0,209287.0,192165.0
229036.0,173461.0,209409.0,192323.0
230056.0,173559.0,209533.0,192484.0
230621.0,173638.0,209603.0,192828.0
230807.0,173708.0,209719.0,192925.0
230816.0,173735.0,210304.0,193052.0
230852.0,173799.0,210359.0,193070.0
230940.0,173805.0,210429.0,193265.0
230995.0,173911.0,210571.0,193308.0
231059.0,173993.0,210775.0,193672.0
231411.0,174020.0,210942.0,193858.0
231624.0,174075.0,210960.0,193973.0
232043.0,174136.0,211024.0,193991.0
232256.0,174358.0,211352.0,194435.0
232265.0,174428.0,211361.0,194499.0
232609.0,174473.0,211477.0,194666.0
232706.0,174570.0,211556.0,194879.0
232919.0,174604.0,211583.0,194958.0
233295.0,174738.0,212072.0,195030.0
233329.0,174756.0,212090.0,195067.0
233426.0,175041.0,212133.0,195128.0
233718.0,175078.0,212160.0,195173.0
234359.0,175120.0,212267.0,195191.0
234739.0,175157.0,212337.0,195216.0
234784.0,175236.0,212869.0,195289.0
235024.0,175315.0,212993.0,195438.0
235088.0,175519.0,213002.0,195526.0
235316.0,175573.0,213011.0,195544.0
236230.0,175607.0,213020.0,195720.0
236328.0,175643.0,213303.0,196060.0
236531.0,175652.0,213349.0,196079.0
236577.0,175786.0,213358.0,196088.0
236595.0,175810.0,213534.0,196097.0
236993.0,175829.0,213589.0,196103.0
237057.0,175883.0,213598.0,196121.0
237066.0,175935.0,213774.0,196149.0
237552.0,176008.0,213783.0,196158.0
237604.0,176035.0,214166.0,196167.0
237978.0,176044.0,214272.0,196176.0
237996.0,176071.0,214582.0,196185.0
238458.0,176169.0,214698.0,196194.0
238476.0,176178.0,214704.0,196200.0
239017.0,176239.0,214768.0,196219.0
239105.0,176318.0,214786.0,196246.0
239309.0,176354.0,214795.0,196291.0
239628.0,176372.0,214810.0,196866.0
239716.0,176664.0,214883.0,197027.0
240718.0,177135.0,215336.0,197133.0
243568.0,177250.0,215442.0,197221.0
244190.0,177287.0,215655.0,197337.0
244491.0,177472.0,215691.0,197522.0
